sim,n_uas,comms_level,success,success_rate,time_to_objective,t_obj_success,blue_losses,red_losses,blue_survivors,arrived,blue_loss_frac,red_loss_frac,loss_exchange,mission_time,detection_coverage,n_repeats,seed
sim-000001,0,0,0.016666666666666666,0.016666666666666666,1780.24,614.4,3.9566666666666666,0.13333333333333333,0.043333333333333335,0.04,0.9891666666666666,0.02222222222222222,0.03472222222222222,388.85,0.00549820529243642,300,342
sim-000002,0,1,0.02,0.02,1776.2766666666666,613.8333333333334,3.953333333333333,0.10666666666666667,0.04666666666666667,0.043333333333333335,0.9883333333333333,0.017777777777777778,0.03,382.4533333333333,0.003880619153123219,300,642
sim-000003,0,2,0.016666666666666666,0.016666666666666666,1780.27,616.2,3.966666666666667,0.12666666666666668,0.03333333333333333,0.03333333333333333,0.9916666666666667,0.02111111111111111,0.034166666666666665,400.0,0.005815653669862716,300,942
sim-000004,0,3,0.013333333333333334,0.013333333333333334,1784.2266666666667,617.0,3.966666666666667,0.14666666666666667,0.03333333333333333,0.03,0.9916666666666667,0.02444444444444444,0.03888888888888889,379.1933333333333,0.004924201537958679,300,1242
sim-000005,0,4,0.01,0.01,1788.1266666666668,612.6666666666666,3.97,0.12333333333333334,0.03,0.03,0.9925,0.020555555555555553,0.03222222222222222,405.19,0.004751115280999828,300,1542
sim-000006,0,5,0.01,0.01,1788.1733333333334,617.3333333333334,3.973333333333333,0.12,0.02666666666666667,0.023333333333333334,0.9933333333333333,0.02,0.03333333333333333,396.00666666666666,0.004196528845764351,300,1842
sim-000007,1,0,0.15333333333333332,0.15333333333333332,1618.0833333333333,613.5869565217391,3.6133333333333333,2.316666666666667,1.3866666666666667,0.31,0.7226666666666666,0.3861111111111111,0.8016666666666666,1618.0833333333333,0.1216449216293722,300,2142
sim-000008,1,1,0.18,0.18,1586.7166666666667,615.0925925925926,3.54,2.32,1.46,0.38333333333333336,0.708,0.38666666666666666,0.8286111111111111,1586.7166666666667,0.11779507810030655,300,2442
sim-000009,1,2,0.14333333333333334,0.14333333333333334,1630.2266666666667,615.5348837209302,3.6433333333333335,2.16,1.3566666666666667,0.30333333333333334,0.7286666666666666,0.36,0.7325,1630.2266666666667,0.1273381757265104,300,2742
sim-000010,1,3,0.17,0.17,1598.5433333333333,614.9607843137255,3.56,2.14,1.44,0.35,0.7119999999999999,0.3566666666666667,0.7905555555555556,1598.5433333333333,0.11561778359871186,300,3042
sim-000011,1,4,0.12333333333333334,0.12333333333333334,1653.7966666666666,614.5675675675676,3.6866666666666665,1.8433333333333333,1.3133333333333332,0.25,0.7373333333333333,0.3072222222222222,0.6219444444444445,1653.7966666666666,0.10834756627087377,300,3342
sim-000012,1,5,0.1,0.1,1681.5366666666666,615.3666666666667,3.7533333333333334,1.53,1.2466666666666666,0.20333333333333334,0.7506666666666666,0.25499999999999995,0.5030555555555555,1681.5366666666666,0.08915738246279582,300,3642
sim-000013,2,0,0.36666666666666664,0.36666666666666664,1365.3633333333332,614.6272727272727,3.04,3.743333333333333,2.96,0.7466666666666667,0.5066666666666667,0.6238888888888889,1.6958333333333333,1365.3633333333332,0.16787982822589717,300,3942
sim-000014,2,1,0.34,0.34,1396.92,614.4705882352941,3.1166666666666667,3.546666666666667,2.8833333333333333,0.6966666666666667,0.5194444444444444,0.591111111111111,1.5666666666666667,1396.92,0.190074159591544,300,4242
sim-000015,2,2,0.32666666666666666,0.32666666666666666,1412.84,614.8163265306123,3.18,3.6233333333333335,2.82,0.6633333333333333,0.53,0.6038888888888889,1.5016666666666667,1412.84,0.16776375130072985,300,4542
sim-000016,2,3,0.29,0.29,1456.2633333333333,614.7011494252873,3.2333333333333334,3.3633333333333333,2.7666666666666666,0.5933333333333334,0.5388888888888888,0.5605555555555555,1.4277777777777778,1456.2633333333333,0.18616243766989038,300,4842
sim-000017,2,4,0.23333333333333334,0.23333333333333334,1523.4733333333334,614.8857142857142,3.39,3.183333333333333,2.61,0.4766666666666667,0.565,0.5305555555555556,1.2555555555555555,1523.4733333333334,0.1720017453441753,300,5142
sim-000018,2,5,0.22,0.22,1539.4533333333334,615.6969696969697,3.433333333333333,2.8033333333333332,2.566666666666667,0.4766666666666667,0.5722222222222223,0.4672222222222222,1.0769444444444445,1539.4533333333334,0.1578537514487669,300,5442
sim-000019,3,0,0.56,0.56,1135.8733333333332,614.0595238095239,2.4566666666666666,4.276666666666666,4.543333333333333,1.1266666666666667,0.3509523809523809,0.7127777777777777,2.5552777777777775,1135.8733333333332,0.37214457073703955,300,5742
sim-000020,3,1,0.5333333333333333,0.5333333333333333,1167.33,613.74375,2.4766666666666666,4.336666666666667,4.523333333333333,1.0733333333333333,0.3538095238095238,0.7227777777777779,2.5825,1167.33,0.3450347633688424,300,6042
sim-000021,3,2,0.53,0.53,1171.34,613.8490566037735,2.51,4.306666666666667,4.49,1.0666666666666667,0.35857142857142854,0.7177777777777777,2.546111111111111,1171.34,0.3316210423729149,300,6342
sim-000022,3,3,0.39666666666666667,0.39666666666666667,1329.7266666666667,614.436974789916,2.8966666666666665,3.99,4.1033333333333335,0.7933333333333333,0.4138095238095237,0.665,2.0425,1329.7266666666667,0.3282301726786522,300,6642
sim-000023,3,4,0.38666666666666666,0.38666666666666666,1341.57,614.4051724137931,2.9166666666666665,3.7733333333333334,4.083333333333333,0.7933333333333333,0.4166666666666666,0.6288888888888888,1.9441666666666666,1341.57,0.30289046238058565,300,6942
sim-000024,3,5,0.28,0.28,1468.1233333333332,614.7261904761905,3.28,3.1466666666666665,3.72,0.56,0.4685714285714285,0.5244444444444445,1.4408333333333334,1468.1233333333332,0.24754084539740048,300,7242
sim-000025,4,0,0.51,0.51,1195.0266666666666,613.7777777777778,2.5033333333333334,4.1,5.496666666666667,1.0366666666666666,0.3129166666666667,0.6833333333333333,2.4891666666666667,1195.0266666666666,0.3940459891910793,300,7542
sim-000026,4,1,0.5333333333333333,0.5333333333333333,1167.6733333333334,614.3875,2.53,4.383333333333334,5.47,1.0666666666666667,0.31625,0.7305555555555556,2.5325,1167.6733333333334,0.3357305631229555,300,7842
sim-000027,4,2,0.5066666666666667,0.5066666666666667,1199.1266666666668,614.0657894736842,2.59,4.15,5.41,1.03,0.32375,0.6916666666666667,2.4169444444444443,1199.1266666666668,0.3481871196426834,300,8142
sim-000028,4,3,0.47333333333333333,0.47333333333333333,1238.7866666666666,614.3380281690141,2.68,4.113333333333333,5.32,0.95,0.335,0.6855555555555555,2.278888888888889,1238.7866666666666,0.32286900967951054,300,8442
sim-000029,4,4,0.36666666666666664,0.36666666666666664,1365.36,614.6181818181818,2.9466666666666668,3.77,5.053333333333334,0.7433333333333333,0.36833333333333335,0.6283333333333333,1.9708333333333334,1365.36,0.2977901958919939,300,8742
sim-000030,4,5,0.22333333333333333,0.22333333333333333,1535.35,615.0,3.4133333333333336,3.03,4.586666666666667,0.45666666666666667,0.4266666666666667,0.505,1.2711111111111113,1535.35,0.25264282603905297,300,9042
sim-000031,5,0,0.6566666666666666,0.6566666666666666,1020.4866666666667,612.9238578680203,1.6766666666666667,4.803333333333334,7.323333333333333,1.3766666666666667,0.1862962962962963,0.8005555555555556,3.9152777777777783,1020.4866666666667,0.8095459627235074,300,9342
sim-000032,5,1,0.6666666666666666,0.6666666666666666,1008.9,613.35,1.7233333333333334,4.8533333333333335,7.276666666666666,1.3866666666666667,0.19148148148148147,0.808888888888889,3.805,1008.9,0.7672806363178961,300,9642
sim-000033,5,2,0.6433333333333333,0.6433333333333333,1036.02,612.4663212435233,1.7066666666666668,4.78,7.293333333333333,1.34,0.18962962962962962,0.7966666666666666,3.8516666666666666,1036.02,0.7290214498693274,300,9942
sim-000034,5,3,0.58,0.58,1111.6833333333334,613.2471264367816,1.9733333333333334,4.66,7.026666666666666,1.2666666666666666,0.21925925925925924,0.7766666666666666,3.4111111111111114,1111.6833333333334,0.6618318868139494,300,10242
sim-000035,5,4,0.52,0.52,1183.1566666666668,613.7628205128206,2.2866666666666666,4.31,6.713333333333333,1.1166666666666667,0.2540740740740741,0.7183333333333334,2.9383333333333335,1183.1566666666668,0.5485089566464962,300,10542
sim-000036,5,5,0.37666666666666665,0.37666666666666665,1353.65,615.0,2.89,3.5033333333333334,6.11,0.8133333333333334,0.3211111111111111,0.5838888888888889,2.008888888888889,1353.65,0.39529495418596594,300,10842
sim-000037,6,0,0.69,0.69,980.9433333333334,612.9613526570048,1.5966666666666667,5.006666666666667,8.403333333333334,1.4266666666666667,0.15966666666666665,0.8344444444444444,4.0375,980.9433333333334,0.7986505172191918,300,11142
sim-000038,6,1,0.6333333333333333,0.6333333333333333,1048.1866666666667,612.9263157894737,1.7733333333333334,4.87,8.226666666666667,1.34,0.17733333333333334,0.8116666666666666,3.7372222222222224,1048.1866666666667,0.7721882646693518,300,11442
sim-000039,6,2,0.6266666666666667,0.6266666666666667,1056.19,613.0691489361702,1.8033333333333332,4.786666666666667,8.196666666666667,1.34,0.18033333333333335,0.7977777777777778,3.715277777777778,1056.19,0.7326549617067467,300,11742
sim-000040,6,3,0.5533333333333333,0.5533333333333333,1143.6866666666667,613.8915662650602,2.18,4.47,7.82,1.18,0.21800000000000003,0.745,3.098055555555556,1143.6866666666667,0.6664722538216619,300,12042
sim-000041,6,4,0.5433333333333333,0.5433333333333333,1155.21,613.2699386503067,2.16,4.373333333333333,7.84,1.16,0.216,0.7288888888888889,3.1397222222222223,1155.21,0.5440854271152311,300,12342
sim-000042,6,5,0.38,0.38,1349.19,613.6578947368421,2.8066666666666666,3.6333333333333333,7.193333333333333,0.8166666666666667,0.2806666666666666,0.6055555555555556,2.201111111111111,1349.19,0.3939941233474792,300,12642
sim-000043,7,0,0.68,0.68,992.6433333333333,612.7107843137255,1.6,4.99,9.4,1.4233333333333333,0.14545454545454548,0.8316666666666668,3.965555555555555,992.6433333333333,0.8010425113651949,300,12942
sim-000044,7,1,0.6766666666666666,0.6766666666666666,996.93,613.1970443349753,1.67,4.873333333333333,9.33,1.4033333333333333,0.15181818181818182,0.8122222222222221,3.945277777777778,996.93,0.766712834660802,300,13242
sim-000045,7,2,0.6266666666666667,0.6266666666666667,1056.2,613.0851063829788,1.7966666666666666,4.93,9.203333333333333,1.3366666666666667,0.16333333333333333,0.8216666666666667,3.739444444444444,1056.2,0.7365576846901556,300,13542
sim-000046,7,3,0.67,0.67,1004.8633333333333,613.2288557213931,1.6833333333333333,4.933333333333334,9.316666666666666,1.4166666666666667,0.15303030303030302,0.8222222222222223,3.884444444444445,1004.8633333333333,0.6468981198786525,300,13842
sim-000047,7,4,0.5033333333333333,0.5033333333333333,1202.9333333333334,613.774834437086,2.3466666666666667,4.416666666666667,8.653333333333334,1.1133333333333333,0.21333333333333332,0.736111111111111,2.9130555555555553,1202.9333333333334,0.5500104747759147,300,14142
sim-000048,7,5,0.3566666666666667,0.3566666666666667,1377.2266666666667,614.6542056074767,2.8933333333333335,3.54,8.106666666666667,0.7866666666666666,0.263030303030303,0.59,1.9830555555555558,1377.2266666666667,0.39604098646926594,300,14442
sim-000049,8,0,0.8,0.8,846.93,608.6625,1.5233333333333334,5.123333333333333,10.476666666666667,1.8,0.12694444444444442,0.8538888888888889,4.104722222222222,846.93,0.790972175070995,300,14742
sim-000050,8,1,0.7766666666666666,0.7766666666666666,874.8466666666667,608.8154506437768,1.59,4.943333333333333,10.41,1.7766666666666666,0.1325,0.8238888888888889,3.9352777777777783,874.8466666666667,0.7582164743863344,300,15042
sim-000051,8,2,0.7633333333333333,0.7633333333333333,891.48,609.7991266375545,1.75,4.99,10.25,1.7633333333333334,0.14583333333333334,0.8316666666666667,3.7422222222222223,891.48,0.7229567897415349,300,15342
sim-000052,8,3,0.6766666666666666,0.6766666666666666,994.3266666666667,609.3497536945813,2.0,4.46,10.0,1.6766666666666667,0.16666666666666666,0.7433333333333333,3.354722222222222,994.3266666666667,0.6569555736279168,300,15642
sim-000053,8,4,0.64,0.64,1038.0766666666666,609.4947916666666,2.1733333333333333,4.3566666666666665,9.826666666666666,1.64,0.18111111111111108,0.726111111111111,3.0416666666666665,1038.0766666666666,0.5410185708306294,300,15942
sim-000054,8,5,0.52,0.52,1181.68,610.9230769230769,2.82,3.5,9.18,1.52,0.235,0.5833333333333334,2.0091666666666668,1181.68,0.3879737273995201,300,16242
